id,name,vehicle_type,brand_id
a6abed65-8372-4230-98c7-c87b710c54ce,A610,1,be240add-0dd6-4de6-9a84-18faa35c2299
3217184e-2814-42f7-af7d-931cee58c457,GTA,1,be240add-0dd6-4de6-9a84-18faa35c2299
1febc639-80d3-4fe3-a8a1-9f270d5f6783,А5,1,6ecf38c2-9f16-4a7d-8fcf-8b5cf54b2d4a
7cd2e029-7a33-4fd1-87e9-84a49dc953b8,Work,1,4a34971b-c155-4e58-be0e-fdd250237c01
9ae18c0d-db00-4a9c-a646-79152b55e8d4,Eagle,1,91d43260-2485-4b68-bc3d-dc5b07e15203
f2baeb09-72f1-40c4-87ea-384a4cdb8bb8,Gremlin,1,91d43260-2485-4b68-bc3d-dc5b07e15203
f3aba667-a6e1-465b-9f81-877a9bc6118a,Hornet,1,91d43260-2485-4b68-bc3d-dc5b07e15203
f8723fdc-0090-4ec6-abf5-9e0e0d5ab0d8,Matador,1,91d43260-2485-4b68-bc3d-dc5b07e15203
0e215c56-91f2-4a6c-a184-53edd3ec0dc9,Rambler Ambassador,1,91d43260-2485-4b68-bc3d-dc5b07e15203
d275b344-f0fd-4b02-a625-1159753420cc,Rambler Classic,1,91d43260-2485-4b68-bc3d-dc5b07e15203
2f46a56d-07c4-4e8e-a005-58561114e89f,HMMWV (Humvee),1,5af91d32-8798-4711-8863-5993cc2c22e5
01ed9043-d421-41ea-8d60-eddbc35a1a12,21541 Stalker,1,94f9a748-7adc-4bce-8e8b-52b4e93d28cd
f95561c1-6c0a-41f2-b04c-ab6c7d802da3,Alpha S,1,46f07c1b-c947-4e5a-b4fe-f8306f60fcb5
c424ff10-fdef-45c5-8e88-64625d822d69,Alpha S5,1,46f07c1b-c947-4e5a-b4fe-f8306f60fcb5
c850c8e5-7164-4b7f-bbe7-b0d1517d8982,Alpha T,1,46f07c1b-c947-4e5a-b4fe-f8306f60fcb5
975f359f-a03d-4553-aacd-c93835b29e73,Kaola,1,46f07c1b-c947-4e5a-b4fe-f8306f60fcb5
476d2d0d-727d-45c2-9dce-338f89ba7d47,Atom,1,2f3dcbd6-8a33-4c6f-9209-db51fb82ec9a
edc18258-649b-431d-a4c2-191a7b591d11,Nomad,1,2f3dcbd6-8a33-4c6f-9209-db51fb82ec9a
b3d88db5-1c18-4243-8fb3-e42917e3bb4b,10,1,3cfa1fe1-fc11-4e62-bc91-b48749582305
76cc0bba-be13-4984-8243-0c204b98b842,24,1,3cfa1fe1-fc11-4e62-bc91-b48749582305
7faccfe4-974d-4085-9e02-2ab102a553df,Retona,1,64d4ba7f-dcd8-4136-a7e8-e7ca98307aae
2929575f-f636-4164-8c5d-e39870fa896b,Rocsta,1,64d4ba7f-dcd8-4136-a7e8-e7ca98307aae
595dc555-c2ff-481a-8ce9-3554043813b6,Topic,1,64d4ba7f-dcd8-4136-a7e8-e7ca98307aae
e68fbc33-1dee-4910-a555-fdc0989493ef,Towner,1,64d4ba7f-dcd8-4136-a7e8-e7ca98307aae
a80a789d-3403-4ffe-b7bf-ed04832aba7a,Bulldog,1,05ca2668-ab42-4f45-a615-1c5c514bed63
9eaed69b-32de-4d50-a90e-cc649feb709f,Cygnet,1,05ca2668-ab42-4f45-a615-1c5c514bed63
84b310ac-b16f-41a6-9e4e-6423d9bff896,DB11,1,05ca2668-ab42-4f45-a615-1c5c514bed63
43015e11-a49f-439e-a37c-21b9bd322d54,DB12,1,05ca2668-ab42-4f45-a615-1c5c514bed63
7463f6ca-4b26-4646-9bcb-d3562b14a34e,DB5,1,05ca2668-ab42-4f45-a615-1c5c514bed63
b7aab5dd-2607-469f-95b2-f0b62f1301b5,DB6,1,05ca2668-ab42-4f45-a615-1c5c514bed63
65ef76cc-c087-4845-ac36-d49a478f58e7,DB7,1,05ca2668-ab42-4f45-a615-1c5c514bed63
fd125121-512c-4e7b-a872-21b91ffa7ac2,DB9,1,05ca2668-ab42-4f45-a615-1c5c514bed63
80d80c62-c8c2-4b01-a6dc-826efd34e049,DBS,1,05ca2668-ab42-4f45-a615-1c5c514bed63
0912ef00-5d62-4808-8c7a-3774a1923b44,DBX,1,05ca2668-ab42-4f45-a615-1c5c514bed63
4a168cd4-c096-4f56-a935-84a12d3c8c50,DB AR1,1,05ca2668-ab42-4f45-a615-1c5c514bed63
2e597292-9dbf-4970-a2bd-01d7a139dca4,Lagonda,1,05ca2668-ab42-4f45-a615-1c5c514bed63
abac30fc-c8dd-4e1a-ba82-e880b34c1ce0,Lagonda Taraf,1,05ca2668-ab42-4f45-a615-1c5c514bed63
97718e2f-8a15-470d-bacd-503ee59b2e47,One-77,1,05ca2668-ab42-4f45-a615-1c5c514bed63
a89e89a8-5619-477e-bbc8-f7787c0a77c5,Rapide,1,05ca2668-ab42-4f45-a615-1c5c514bed63
26d84d14-9ddb-4acc-9904-8a5da341e5c1,Tickford Capri,1,05ca2668-ab42-4f45-a615-1c5c514bed63
b3217ad0-460d-480d-84ad-b49fc39d909d,Vanquish,1,05ca2668-ab42-4f45-a615-1c5c514bed63
9689b27e-cd57-418e-ba5e-b9029fa22772,V12 Speedster,1,05ca2668-ab42-4f45-a615-1c5c514bed63
f192b34e-7a69-42fb-a9b7-46abe3857ef9,V12 Vantage,1,05ca2668-ab42-4f45-a615-1c5c514bed63
3732f908-a0bd-45dc-af14-9fa718d25fba,V12 Zagato,1,05ca2668-ab42-4f45-a615-1c5c514bed63
731727b8-4283-46b6-8325-fc9203bc279f,V8 Vantage,1,05ca2668-ab42-4f45-a615-1c5c514bed63
e86ea2c9-ab7c-4c0b-95fa-c2ef576b9cb7,V8 Zagato,1,05ca2668-ab42-4f45-a615-1c5c514bed63
6249828a-20ac-46d8-a3f1-0a6a48fc48c1,Valhalla,1,05ca2668-ab42-4f45-a615-1c5c514bed63
c96aecdb-d6e3-4bd4-8b65-918401afe917,Valiant,1,05ca2668-ab42-4f45-a615-1c5c514bed63
66e784c5-7c5d-488e-ba03-aaf37b6fd8bb,Valkyrie,1,05ca2668-ab42-4f45-a615-1c5c514bed63
5967ab73-972c-4ab1-a290-51ada698826d,Valour,1,05ca2668-ab42-4f45-a615-1c5c514bed63
640eb6cc-5ea2-44c3-8743-97093eb32d04,Virage,1,05ca2668-ab42-4f45-a615-1c5c514bed63
ac063ab6-a5a0-4f8c-a82c-ae15237da0a7,Vulcan,1,05ca2668-ab42-4f45-a615-1c5c514bed63
e397d5d3-233c-4595-b585-36ee55fb49b3,1,1,4d459f78-6b02-4779-8c88-695ba531bafd
f8870954-6618-4171-b5f6-8ad36d0c4ae7,Speedster,1,bdf58c9e-bc96-4fac-9cc3-7bc3b22f62e1
f7770d7b-4eb4-437b-acae-c2fe42253b36,100,1,70d4d774-1b1d-4335-9c60-403f161b1f66
e6336347-6290-4907-b24d-94f995cf4d7c,200,1,70d4d774-1b1d-4335-9c60-403f161b1f66
bd664cba-410e-4e39-b0d0-65e5160f190d,50,1,70d4d774-1b1d-4335-9c60-403f161b1f66
aeb89bb6-1bee-40ba-b5e3-b331340f7fc5,80,1,70d4d774-1b1d-4335-9c60-403f161b1f66
f981cdc6-04ae-4ce6-8a26-cd67caffc921,90,1,70d4d774-1b1d-4335-9c60-403f161b1f66
1cf47f17-bb3f-46f7-9e4a-808bb4924620,920,1,70d4d774-1b1d-4335-9c60-403f161b1f66
242b61db-ea8e-40e1-a372-dfbf658740d2,A1,1,70d4d774-1b1d-4335-9c60-403f161b1f66
b018253d-d91f-4278-9f40-93d3cb779a10,A2,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ab607439-b402-4748-a561-ea9395a1277c,A3,1,70d4d774-1b1d-4335-9c60-403f161b1f66
39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08,A4,1,70d4d774-1b1d-4335-9c60-403f161b1f66
c4880242-30dd-4c5e-8a60-01e63c6dcaf4,A4 allroad,1,70d4d774-1b1d-4335-9c60-403f161b1f66
3978c612-2f17-4a43-8c17-eda42db0ffda,A5,1,70d4d774-1b1d-4335-9c60-403f161b1f66
21939d93-2b73-48a0-9a3b-ab92e3992225,A6,1,70d4d774-1b1d-4335-9c60-403f161b1f66
54db481e-bef0-4864-9519-070108f44f4f,A6 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f,A7,1,70d4d774-1b1d-4335-9c60-403f161b1f66
b8fe9862-8731-4c29-9b1c-4b9a6691de22,A8,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ce60cf86-8031-4f08-bc39-175f24766a67,A6 allroad,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ae99a768-278d-4434-b7f7-11a863b4a20a,Cabriolet,1,70d4d774-1b1d-4335-9c60-403f161b1f66
4dab94df-3d35-4529-a05e-b92aaeba0791,Coupe,1,70d4d774-1b1d-4335-9c60-403f161b1f66
7a80cc37-97c8-4c1e-ad97-3ee22b1dea48,E5,1,70d4d774-1b1d-4335-9c60-403f161b1f66
29092411-2c18-4886-9ef6-e4d8fb352f1e,e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
dc2dd254-9dc0-4086-8df9-3f18329d6270,e-tron GT,1,70d4d774-1b1d-4335-9c60-403f161b1f66
869fc8e0-267f-4bec-8044-6a6d90559217,e-tron S,1,70d4d774-1b1d-4335-9c60-403f161b1f66
22f8059a-7967-489f-8a05-02cc65b2837b,e-tron Sportback,1,70d4d774-1b1d-4335-9c60-403f161b1f66
54101e2f-1120-483c-af3a-42ba9891f465,e-tron S Sportback,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ebdd1715-aaa5-44e7-aa8c-c5e580b0927a,Front,1,70d4d774-1b1d-4335-9c60-403f161b1f66
d8626f25-3a8e-495c-b998-149d06afb8c6,NSU RO 80,1,70d4d774-1b1d-4335-9c60-403f161b1f66
e5eaa7b7-eed2-48e3-8405-c682436b4b45,Q2,1,70d4d774-1b1d-4335-9c60-403f161b1f66
8ac3ee16-a8f4-4033-a665-c8371ee64f36,Q3,1,70d4d774-1b1d-4335-9c60-403f161b1f66
356e9680-75b3-48b1-b73d-3d38cab3eb6d,Q3 Sportback,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ad656d2a-210d-4417-989f-dd6cfe1413e2,Q4 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
3ad52ffc-3f80-48ca-b904-d1531872d7f2,Q4 Sportback e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
49b08eae-cc0d-403f-8be1-64b49a66a553,Q5,1,70d4d774-1b1d-4335-9c60-403f161b1f66
350d4d79-c566-492b-a626-033d7389763e,Q5 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
a935c372-eb9f-484e-8c97-6f9625740421,Q5 Sportback,1,70d4d774-1b1d-4335-9c60-403f161b1f66
496faa3f-df41-430d-b341-3b09de9046fa,Q6,1,70d4d774-1b1d-4335-9c60-403f161b1f66
75c22af4-8f59-4bb1-a21c-3c737285d8c2,Q6 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
8e495a53-a412-4b1a-941b-5cba2848247e,Q6 Sportback e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
c8f519fa-8a4a-4ce1-b9b3-9ed3378889c4,Q7,1,70d4d774-1b1d-4335-9c60-403f161b1f66
64d24131-c136-467f-8cbe-c1b24d8b2549,Q8,1,70d4d774-1b1d-4335-9c60-403f161b1f66
f908a94b-f2c2-4528-b8ad-93ca8e6886ae,Q8 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
d4e77545-8029-444b-9112-1afd0a1f5be1,Q8 Sportback e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
aa85df06-d87e-405d-976d-7a9cf4175c5b,Quattro,1,70d4d774-1b1d-4335-9c60-403f161b1f66
bf153df5-c11b-42bc-8a8e-b149366a15ed,R8,1,70d4d774-1b1d-4335-9c60-403f161b1f66
cab0c955-9bf3-4d0b-8df9-5249236f1c16,R8 LMP,1,70d4d774-1b1d-4335-9c60-403f161b1f66
31311368-d157-47d1-b11a-936890639332,RS 2,1,70d4d774-1b1d-4335-9c60-403f161b1f66
d7d5ee3e-3d2f-4fa4-b815-3858cd50bdf8,RS 3,1,70d4d774-1b1d-4335-9c60-403f161b1f66
1e7bbc13-86e4-4c4e-b1d4-4ed34d755374,RS 4,1,70d4d774-1b1d-4335-9c60-403f161b1f66
e79cece3-6959-410c-936c-9db6902ce094,RS 5,1,70d4d774-1b1d-4335-9c60-403f161b1f66
6ceb736b-0116-494f-9937-40d564e11f96,RS 6,1,70d4d774-1b1d-4335-9c60-403f161b1f66
121d729f-a3b9-4479-ad6f-5dd2765c7726,RS 7,1,70d4d774-1b1d-4335-9c60-403f161b1f66
42c3385e-07b5-4b59-b032-6fc748ed7d04,RS Q3,1,70d4d774-1b1d-4335-9c60-403f161b1f66
91c5ec7b-25ad-4279-9588-dd65a4d66aa4,RS e-tron GT,1,70d4d774-1b1d-4335-9c60-403f161b1f66
9a300439-f7e4-45a8-82ea-e8db98576dbd,RS Q3 Sportback,1,70d4d774-1b1d-4335-9c60-403f161b1f66
40a0311d-c0a1-477e-a850-a938deccf09b,RS Q8,1,70d4d774-1b1d-4335-9c60-403f161b1f66
7403792b-d865-465c-a251-6c629c8b14f3,S1,1,70d4d774-1b1d-4335-9c60-403f161b1f66
4fdabba1-64dd-4b9d-9e11-c4eb562f4f71,S2,1,70d4d774-1b1d-4335-9c60-403f161b1f66
ed0d7b4f-7b2f-4108-8e9b-f0df83b7ad65,S3,1,70d4d774-1b1d-4335-9c60-403f161b1f66
3e6be67c-9222-4f3f-8a29-da5563a1d6bc,S4,1,70d4d774-1b1d-4335-9c60-403f161b1f66
d246c38c-1322-4c88-8dfd-b45ce86e017e,S5,1,70d4d774-1b1d-4335-9c60-403f161b1f66
80816c74-1755-478d-8e82-16d3bd4cf62c,S6,1,70d4d774-1b1d-4335-9c60-403f161b1f66
132563f8-0500-45c0-9da7-6afcc353357f,S6 e-tron,1,70d4d774-1b1d-4335-9c60-403f161b1f66
3224514b-a3f4-4dd8-add9-2365379cc302,S7,1,70d4d774-1b1d-4335-9c60-403f161b1f66
3c0f05e6-a331-4880-b13e-85be4ed93aec,S8,1,70d4d774-1b1d-4335-9c60-403f161b1f66
